Datetime(local),Datetime(UTC),Position_filter_1,Position_filter_2,Flux,UID
2022-03-11T09:08:53,2022-03-11T14:08:53,92640.0007324,--,0.000207200904506,--
2022-03-11T09:08:53,2022-03-11T14:08:53,92641.0004883,--,0.000207228941401,--
2022-03-11T09:08:53,2022-03-11T14:08:53,92642.0002441,--,0.000207338989845,--
2022-03-11T09:08:53,2022-03-11T14:08:53,92643,--,0.00020737128428,--
2022-03-11T09:08:53,2022-03-11T14:08:53,92643.9997559,--,0.000207286317745,--
2022-03-11T09:08:53,2022-03-11T14:08:53,92644.9995117,--,0.000207254917296,--
2022-03-11T09:08:53,2022-03-11T14:08:53,92645.9992676,--,0.000207178325802,--
2022-03-11T09:08:53,2022-03-11T14:08:53,92646.9990234,--,0.000207151567211,--
2022-03-11T09:08:54,2022-03-11T14:08:54,92647.9987793,--,0.00020719442738,--
2022-03-11T09:08:55,2022-03-11T14:08:55,92648.9985352,--,0.00020726300862,--
2022-03-11T09:08:56,2022-03-11T14:08:56,92649.998291,--,0.00020735258816,--
2022-03-11T09:08:57,2022-03-11T14:08:57,92650.9980469,--,0.000207356374326,--
2022-03-11T09:08:58,2022-03-11T14:08:58,92651.9978027,--,0.000207369886116,--
2022-03-11T09:08:59,2022-03-11T14:08:59,92652.9975586,--,0.000207408609323,--
2022-03-11T09:08:60,2022-03-11T14:08:60,92653.9973145,--,0.000207359185014,--
2022-03-11T09:08:61,2022-03-11T14:08:61,92654.9970703,--,0.000207331715259,--
2022-03-11T09:08:62,2022-03-11T14:08:62,92655.9968262,--,0.000207328222211,--
2022-03-11T09:08:63,2022-03-11T14:08:63,92656.996582,--,0.00020736155887,--
2022-03-11T09:08:64,2022-03-11T14:08:64,92657.9963379,--,0.000207567754817,--
2022-03-11T09:08:65,2022-03-11T14:08:65,92658.9960938,--,0.000207745259783,--
2022-03-11T09:08:66,2022-03-11T14:08:66,92659.9958496,--,0.000207696744135,--
